source,brand,brand_en,model,model_en,generation,generation_en,body,type,type_en,trim,trim_en,name_en_notes,count
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.4 터보,1.4 터보,튜너 패키지,튜너 패키지,Hyundai -> i30 -> 1.4 터보 -> 튜너 패키지,0
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.4 터보,1.4 터보,스타일,스타일,Hyundai -> i30 -> 1.4 터보 -> 스타일,24
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.4 터보,1.4 터보,스마트,스마트,Hyundai -> i30 -> 1.4 터보 -> 스마트,5
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.4 터보,1.4 터보,모던,모던,Hyundai -> i30 -> 1.4 터보 -> 모던,6
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.4 터보,1.4 터보,프리미엄,프리미엄,Hyundai -> i30 -> 1.4 터보 -> 프리미엄,13
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.6 터보,1.6 터보,스포츠,스포츠,Hyundai -> i30 -> 1.6 터보 -> 스포츠,2
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.6 터보,1.6 터보,스포츠 프리미엄,스포츠 프리미엄,Hyundai -> i30 -> 1.6 터보 -> 스포츠 프리미엄,28
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.6 터보,1.6 터보,스포츠 에센스 에디션,스포츠 에센스 에디션,Hyundai -> i30 -> 1.6 터보 -> 스포츠 에센스 에디션,0
domestic,현대,Hyundai,i30,i30,i30 (PD),,,1.6 터보,1.6 터보,N Line,N Line,Hyundai -> i30 -> 1.6 터보 -> N Line,27
domestic,현대,Hyundai,i30,i30,i30 (PD),,,2.0 수출형,2.0 수출형,,,Hyundai -> i30 -> 2.0 수출형,0
domestic,현대,Hyundai,i30,i30,i30 (PD),,,디젤 1.6,디젤 1.6,스마트,스마트,Hyundai -> i30 -> 디젤 1.6 -> 스마트,9
domestic,현대,Hyundai,i30,i30,i30 (PD),,,디젤 1.6,디젤 1.6,모던,모던,Hyundai -> i30 -> 디젤 1.6 -> 모던,6
domestic,현대,Hyundai,i30,i30,i30 (PD),,,디젤 1.6,디젤 1.6,프리미엄,프리미엄,Hyundai -> i30 -> 디젤 1.6 -> 프리미엄,8
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,2.0 유니크,2.0 유니크,,,Hyundai -> i30 -> 2.0 유니크,0
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,2.0 PYL,2.0 PYL,,,Hyundai -> i30 -> 2.0 PYL,8
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,2.0 TUIX,2.0 TUIX,블랙 라이트,블랙 라이트,Hyundai -> i30 -> 2.0 TUIX -> 블랙 라이트,0
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,2.0 디 스펙,2.0 디 스펙,,,Hyundai -> i30 -> 2.0 디 스펙,0
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,2.0 수출형,2.0 수출형,,,Hyundai -> i30 -> 2.0 수출형,0
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,디젤 1.6 유니크,디젤 1.6 유니크,,,Hyundai -> i30 -> 디젤 1.6 유니크,0
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,디젤 1.6 PYL,디젤 1.6 PYL,,,Hyundai -> i30 -> 디젤 1.6 PYL,25
domestic,현대,Hyundai,i30,i30,더 뉴 i30,,,디젤 1.6 TUIX,디젤 1.6 TUIX,블랙 라이트,블랙 라이트,Hyundai -> i30 -> 디젤 1.6 TUIX -> 블랙 라이트,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI 유니크,1.6 GDI 유니크,,,Hyundai -> i30 -> 1.6 GDI 유니크,13
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI 익스트림,1.6 GDI 익스트림,,,Hyundai -> i30 -> 1.6 GDI 익스트림,39
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI 블루세이버,1.6 GDI 블루세이버,,,Hyundai -> i30 -> 1.6 GDI 블루세이버,1
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI PYL,1.6 GDI PYL,,,Hyundai -> i30 -> 1.6 GDI PYL,47
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI PYL TUIX,1.6 GDI PYL TUIX,크래용,크래용,Hyundai -> i30 -> 1.6 GDI PYL TUIX -> 크래용,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI PYL TUIX,1.6 GDI PYL TUIX,크래용휠,크래용휠,Hyundai -> i30 -> 1.6 GDI PYL TUIX -> 크래용휠,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI PYL TUIX,1.6 GDI PYL TUIX,크래용+크래용휠,크래용+크래용휠,Hyundai -> i30 -> 1.6 GDI PYL TUIX -> 크래용+크래용휠,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.6 GDI PYL TUIX,1.6 GDI PYL TUIX,블랙 라이트,블랙 라이트,Hyundai -> i30 -> 1.6 GDI PYL TUIX -> 블랙 라이트,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,1.8 수출형,1.8 수출형,,,Hyundai -> i30 -> 1.8 수출형,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,2.0 GDi 디스펙,2.0 GDi 디스펙,,,Hyundai -> i30 -> 2.0 GDi 디스펙,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,2.0 GDI 디스펙 TUIX,2.0 GDI 디스펙 TUIX,크레용휠,크레용휠,Hyundai -> i30 -> 2.0 GDI 디스펙 TUIX -> 크레용휠,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT 유니크,디젤 1.6 VGT 유니크,,,Hyundai -> i30 -> 디젤 1.6 VGT 유니크,10
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT 익스트림,디젤 1.6 VGT 익스트림,,,Hyundai -> i30 -> 디젤 1.6 VGT 익스트림,23
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT PYL,디젤 1.6 VGT PYL,,,Hyundai -> i30 -> 디젤 1.6 VGT PYL,31
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT PYL TUIX,디젤 1.6 VGT PYL TUIX,크래용,크래용,Hyundai -> i30 -> 디젤 1.6 VGT PYL TUIX -> 크래용,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT PYL TUIX,디젤 1.6 VGT PYL TUIX,크래용휠,크래용휠,Hyundai -> i30 -> 디젤 1.6 VGT PYL TUIX -> 크래용휠,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT PYL TUIX,디젤 1.6 VGT PYL TUIX,크래용+크래용휠,크래용+크래용휠,Hyundai -> i30 -> 디젤 1.6 VGT PYL TUIX -> 크래용+크래용휠,0
domestic,현대,Hyundai,i30,i30,i30(신형),,,디젤 1.6 VGT PYL TUIX,디젤 1.6 VGT PYL TUIX,블랙 라이트,블랙 라이트,Hyundai -> i30 -> 디젤 1.6 VGT PYL TUIX -> 블랙 라이트,0
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 트렌디,1.6 VVT 트렌디,,,Hyundai -> i30 -> 1.6 VVT 트렌디,1
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 디럭스,1.6 VVT 디럭스,,,Hyundai -> i30 -> 1.6 VVT 디럭스,3
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 럭셔리,1.6 VVT 럭셔리,,,Hyundai -> i30 -> 1.6 VVT 럭셔리,16
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 월드컵 스페셜에디션,1.6 VVT 월드컵 스페셜에디션,,,Hyundai -> i30 -> 1.6 VVT 월드컵 스페셜에디션,0
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 프리미어,1.6 VVT 프리미어,기본형,기본형,Hyundai -> i30 -> 1.6 VVT 프리미어 -> 기본형,17
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 프리미어,1.6 VVT 프리미어,브라운 스페셜,브라운 스페셜,Hyundai -> i30 -> 1.6 VVT 프리미어 -> 브라운 스페셜,0
domestic,현대,Hyundai,i30,i30,i30,,,1.6 VVT 익스트림,1.6 VVT 익스트림,,,Hyundai -> i30 -> 1.6 VVT 익스트림,1
domestic,현대,Hyundai,i30,i30,i30,,,2.0 VVT 럭셔리,2.0 VVT 럭셔리,,,Hyundai -> i30 -> 2.0 VVT 럭셔리,0
domestic,현대,Hyundai,i30,i30,i30,,,2.0 VVT 프리미어,2.0 VVT 프리미어,,,Hyundai -> i30 -> 2.0 VVT 프리미어,0
domestic,현대,Hyundai,i30,i30,i30,,,2.0 VVT 익스트림,2.0 VVT 익스트림,,,Hyundai -> i30 -> 2.0 VVT 익스트림,1
domestic,현대,Hyundai,i30,i30,i30,,,디젤 1.6 VGT 트렌디,디젤 1.6 VGT 트렌디,,,Hyundai -> i30 -> 디젤 1.6 VGT 트렌디,0
domestic,현대,Hyundai,i30,i30,i30,,,디젤 1.6 VGT 디럭스,디젤 1.6 VGT 디럭스,,,Hyundai -> i30 -> 디젤 1.6 VGT 디럭스,0
domestic,현대,Hyundai,i30,i30,i30,,,디젤 1.6 VGT 럭셔리,디젤 1.6 VGT 럭셔리,,,Hyundai -> i30 -> 디젤 1.6 VGT 럭셔리,3
domestic,현대,Hyundai,i30,i30,i30,,,디젤 1.6 VGT 프리미어,디젤 1.6 VGT 프리미어,,,Hyundai -> i30 -> 디젤 1.6 VGT 프리미어,1
domestic,현대,Hyundai,i30,i30,i30 cw,,,1.6 VVT 트렌디,1.6 VVT 트렌디,,,Hyundai -> i30 -> 1.6 VVT 트렌디,0
domestic,현대,Hyundai,i30,i30,i30 cw,,,1.6 VVT 디럭스,1.6 VVT 디럭스,,,Hyundai -> i30 -> 1.6 VVT 디럭스,3
domestic,현대,Hyundai,i30,i30,i30 cw,,,1.6 VVT 럭셔리,1.6 VVT 럭셔리,,,Hyundai -> i30 -> 1.6 VVT 럭셔리,5
domestic,현대,Hyundai,i30,i30,i30 cw,,,1.6 VVT 월드컵 에디션,1.6 VVT 월드컵 에디션,,,Hyundai -> i30 -> 1.6 VVT 월드컵 에디션,1
domestic,현대,Hyundai,i30,i30,i30 cw,,,1.6 VVT 프리미어,1.6 VVT 프리미어,,,Hyundai -> i30 -> 1.6 VVT 프리미어,3
domestic,현대,Hyundai,i30,i30,i30 cw,,,2.0 VVT 럭셔리,2.0 VVT 럭셔리,,,Hyundai -> i30 -> 2.0 VVT 럭셔리,0
domestic,현대,Hyundai,i30,i30,i30 cw,,,2.0 VVT 프리미어,2.0 VVT 프리미어,,,Hyundai -> i30 -> 2.0 VVT 프리미어,0
domestic,현대,Hyundai,i30,i30,i30 cw,,,2.0 VVT 익스트림,2.0 VVT 익스트림,,,Hyundai -> i30 -> 2.0 VVT 익스트림,0
domestic,현대,Hyundai,i30,i30,i30 cw,,,디젤 1.6 VGT 디럭스,디젤 1.6 VGT 디럭스,,,Hyundai -> i30 -> 디젤 1.6 VGT 디럭스,0
domestic,현대,Hyundai,i30,i30,i30 cw,,,디젤 1.6 VGT 럭셔리,디젤 1.6 VGT 럭셔리,,,Hyundai -> i30 -> 디젤 1.6 VGT 럭셔리,3
domestic,현대,Hyundai,i30,i30,i30 cw,,,디젤 1.6 VGT 프리미어,디젤 1.6 VGT 프리미어,,,Hyundai -> i30 -> 디젤 1.6 VGT 프리미어,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,2.0 GDi,2.0 GDi,유니크,유니크,Hyundai -> i40 -> 2.0 GDi -> 유니크,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,2.0 GDi,2.0 GDi,PYL,PYL,Hyundai -> i40 -> 2.0 GDi -> PYL,3
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,2.0 GDi,2.0 GDi,디 스펙,디 스펙,Hyundai -> i40 -> 2.0 GDi -> 디 스펙,4
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,2.0 GDi,2.0 GDi,스마트,스마트,Hyundai -> i40 -> 2.0 GDi -> 스마트,3
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,2.0 GDi,2.0 GDi,프리미엄,프리미엄,Hyundai -> i40 -> 2.0 GDi -> 프리미엄,1
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT,1.7 VGT,유니크,유니크,Hyundai -> i40 -> 1.7 VGT -> 유니크,4
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT,1.7 VGT,PYL,PYL,Hyundai -> i40 -> 1.7 VGT -> PYL,5
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT,1.7 VGT,디 스펙,디 스펙,Hyundai -> i40 -> 1.7 VGT -> 디 스펙,2
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT,1.7 VGT,스마트,스마트,Hyundai -> i40 -> 1.7 VGT -> 스마트,3
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT,1.7 VGT,프리미엄,프리미엄,Hyundai -> i40 -> 1.7 VGT -> 프리미엄,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40,,,1.7 VGT (수출형),1.7 VGT (수출형),,,Hyundai -> i40 -> 1.7 VGT (수출형),0
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,2.0 GDi,2.0 GDi,유니크,유니크,Hyundai -> i40 -> 2.0 GDi -> 유니크,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,2.0 GDi,2.0 GDi,PYL,PYL,Hyundai -> i40 -> 2.0 GDi -> PYL,10
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,2.0 GDi,2.0 GDi,디 스펙,디 스펙,Hyundai -> i40 -> 2.0 GDi -> 디 스펙,10
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,2.0 GDi,2.0 GDi,스마트,스마트,Hyundai -> i40 -> 2.0 GDi -> 스마트,1
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,2.0 GDi,2.0 GDi,프리미엄,프리미엄,Hyundai -> i40 -> 2.0 GDi -> 프리미엄,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,1.7 VGT,1.7 VGT,유니크,유니크,Hyundai -> i40 -> 1.7 VGT -> 유니크,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,1.7 VGT,1.7 VGT,PYL,PYL,Hyundai -> i40 -> 1.7 VGT -> PYL,12
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,1.7 VGT,1.7 VGT,디 스펙,디 스펙,Hyundai -> i40 -> 1.7 VGT -> 디 스펙,16
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,1.7 VGT,1.7 VGT,스마트,스마트,Hyundai -> i40 -> 1.7 VGT -> 스마트,0
domestic,현대,Hyundai,i40,i40,더 뉴 i40 살룬,,,1.7 VGT,1.7 VGT,프리미엄,프리미엄,Hyundai -> i40 -> 1.7 VGT -> 프리미엄,0
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,스마트,스마트,Hyundai -> i40 -> 2.0 GDi -> 스마트,1
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,모던,모던,Hyundai -> i40 -> 2.0 GDi -> 모던,6
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,프리미엄,프리미엄,Hyundai -> i40 -> 2.0 GDi -> 프리미엄,8
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,유니크,유니크,Hyundai -> i40 -> 2.0 GDi -> 유니크,0
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,PYL,PYL,Hyundai -> i40 -> 2.0 GDi -> PYL,6
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,D 스펙,D 스펙,Hyundai -> i40 -> 2.0 GDi -> D 스펙,2
domestic,현대,Hyundai,i40,i40,i40,,,2.0 GDi,2.0 GDi,수출형,수출형,Hyundai -> i40 -> 2.0 GDi -> 수출형,0
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,스마트,스마트,Hyundai -> i40 -> 1.7 VGT -> 스마트,6
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,모던,모던,Hyundai -> i40 -> 1.7 VGT -> 모던,15
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,프리미엄,프리미엄,Hyundai -> i40 -> 1.7 VGT -> 프리미엄,7
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,유니크,유니크,Hyundai -> i40 -> 1.7 VGT -> 유니크,0
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,PYL,PYL,Hyundai -> i40 -> 1.7 VGT -> PYL,9
domestic,현대,Hyundai,i40,i40,i40,,,1.7 VGT,1.7 VGT,D 스펙,D 스펙,Hyundai -> i40 -> 1.7 VGT -> D 스펙,13
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,스마트,스마트,Hyundai -> i40 -> 2.0 GDi -> 스마트,3
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,모던,모던,Hyundai -> i40 -> 2.0 GDi -> 모던,13
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,프리미엄,프리미엄,Hyundai -> i40 -> 2.0 GDi -> 프리미엄,3
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,유니크,유니크,Hyundai -> i40 -> 2.0 GDi -> 유니크,0
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,PYL,PYL,Hyundai -> i40 -> 2.0 GDi -> PYL,14
domestic,현대,Hyundai,i40,i40,i40 살룬,,,2.0 GDi,2.0 GDi,D 스펙,D 스펙,Hyundai -> i40 -> 2.0 GDi -> D 스펙,13
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,스마트,스마트,Hyundai -> i40 -> 1.7 VGT -> 스마트,5
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,모던,모던,Hyundai -> i40 -> 1.7 VGT -> 모던,25
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,프리미엄,프리미엄,Hyundai -> i40 -> 1.7 VGT -> 프리미엄,15
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,유니크,유니크,Hyundai -> i40 -> 1.7 VGT -> 유니크,0
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,PYL,PYL,Hyundai -> i40 -> 1.7 VGT -> PYL,21
domestic,현대,Hyundai,i40,i40,i40 살룬,,,1.7 VGT,1.7 VGT,D 스펙,D 스펙,Hyundai -> i40 -> 1.7 VGT -> D 스펙,12
domestic,현대,Hyundai,ST1,ST1,ST1,,,샤시캡,샤시캡,스마트,스마트,Hyundai -> ST1 -> 샤시캡 -> 스마트,0
domestic,현대,Hyundai,ST1,ST1,ST1,,,카고,카고,스타일,스타일,Hyundai -> ST1 -> 카고 -> 스타일,0
domestic,현대,Hyundai,ST1,ST1,ST1,,,카고,카고,스마트,스마트,Hyundai -> ST1 -> 카고 -> 스마트,3
domestic,현대,Hyundai,ST1,ST1,ST1,,,카고,카고,프리미엄,프리미엄,Hyundai -> ST1 -> 카고 -> 프리미엄,4
domestic,현대,Hyundai,ST1,ST1,ST1,,,카고 냉동,카고 냉동,스마트,스마트,Hyundai -> ST1 -> 카고 냉동 -> 스마트,0
domestic,현대,Hyundai,ST1,ST1,ST1,,,카고 냉동,카고 냉동,프리미엄,프리미엄,Hyundai -> ST1 -> 카고 냉동 -> 프리미엄,0
domestic,현대,Hyundai,ST1,ST1,ST1,,,특장 하이탑,특장 하이탑,스마트,스마트,Hyundai -> ST1 -> 특장 하이탑 -> 스마트,2
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 LPG V6 엑시드,7인승 LPG V6 엑시드,,,Hyundai -> Galloper -> 7인승 LPG V6 엑시드,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,9인승 V6 LPG,9인승 V6 LPG,,,Hyundai -> Galloper -> 9인승 V6 LPG,7
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 V6 LPG EXCEED,밴 V6 LPG EXCEED,,,Hyundai -> Galloper -> 밴 V6 LPG EXCEED,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,롱보디 V6 골드,롱보디 V6 골드,골드,골드,Hyundai -> Galloper -> 롱보디 V6 골드 -> 골드,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,숏보디 터보STD,숏보디 터보STD,,,Hyundai -> Galloper -> 숏보디 터보STD,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,숏보디 터보엑시드,숏보디 터보엑시드,,,Hyundai -> Galloper -> 숏보디 터보엑시드,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,숏보디 인터쿨러슈퍼,숏보디 인터쿨러슈퍼,,,Hyundai -> Galloper -> 숏보디 인터쿨러슈퍼,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,숏보디 이노베이션 터보,숏보디 이노베이션 터보,,,Hyundai -> Galloper -> 숏보디 이노베이션 터보,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,숏보디 이노베이션 인터쿨러,숏보디 이노베이션 인터쿨러,,,Hyundai -> Galloper -> 숏보디 이노베이션 인터쿨러,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,롱보디 디젤엑시드,롱보디 디젤엑시드,,,Hyundai -> Galloper -> 롱보디 디젤엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,롱보디 터보엑시드,롱보디 터보엑시드,,,Hyundai -> Galloper -> 롱보디 터보엑시드,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,롱보디 인터쿨러엑시드,롱보디 인터쿨러엑시드,,,Hyundai -> Galloper -> 롱보디 인터쿨러엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,롱보디 인터쿨러슈퍼,롱보디 인터쿨러슈퍼,,,Hyundai -> Galloper -> 롱보디 인터쿨러슈퍼,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,6인승 인터쿨러슈퍼,6인승 인터쿨러슈퍼,,,Hyundai -> Galloper -> 6인승 인터쿨러슈퍼,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,6인승 터보엑시드,6인승 터보엑시드,,,Hyundai -> Galloper -> 6인승 터보엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 디젤엑시드,7인승 디젤엑시드,,,Hyundai -> Galloper -> 7인승 디젤엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 터보엑시드,7인승 터보엑시드,기본형,기본형,Hyundai -> Galloper -> 7인승 터보엑시드 -> 기본형,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 인터쿨러엑시드,7인승 인터쿨러엑시드,기본형,기본형,Hyundai -> Galloper -> 7인승 인터쿨러엑시드 -> 기본형,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 인터쿨러슈퍼,7인승 인터쿨러슈퍼,고급형,고급형,Hyundai -> Galloper -> 7인승 인터쿨러슈퍼 -> 고급형,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 인터쿨러슈퍼,7인승 인터쿨러슈퍼,기본형,기본형,Hyundai -> Galloper -> 7인승 인터쿨러슈퍼 -> 기본형,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,7인승 인터쿨러슈퍼,7인승 인터쿨러슈퍼,최고급형,최고급형,Hyundai -> Galloper -> 7인승 인터쿨러슈퍼 -> 최고급형,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,9인승 디젤엑시드,9인승 디젤엑시드,,,Hyundai -> Galloper -> 9인승 디젤엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,9인승 터보엑시드,9인승 터보엑시드,,,Hyundai -> Galloper -> 9인승 터보엑시드,2
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 디젤엑시드 (숏보디),밴 디젤엑시드 (숏보디),,,Hyundai -> Galloper -> 밴 디젤엑시드 (숏보디),1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 터보 (숏보디),밴 터보 (숏보디),,,Hyundai -> Galloper -> 밴 터보 (숏보디),2
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 인터쿨러엑시드 (숏보디),밴 인터쿨러엑시드 (숏보디),,,Hyundai -> Galloper -> 밴 인터쿨러엑시드 (숏보디),0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 이노베이션 터보(롱보디),밴 이노베이션 터보(롱보디),,,Hyundai -> Galloper -> 밴 이노베이션 터보(롱보디),0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 이노베이션 터보(숏보디),밴 이노베이션 터보(숏보디),,,Hyundai -> Galloper -> 밴 이노베이션 터보(숏보디),1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 디젤엑시드 (롱보디),밴 디젤엑시드 (롱보디),,,Hyundai -> Galloper -> 밴 디젤엑시드 (롱보디),0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,밴 이노베이션 인터쿨러,밴 이노베이션 인터쿨러,,,Hyundai -> Galloper -> 밴 이노베이션 인터쿨러,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼 2,,,픽업트럭,픽업트럭,,,Hyundai -> Galloper -> 픽업트럭,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,밴 V6 LPG엑시드(숏바디),밴 V6 LPG엑시드(숏바디),,,Hyundai -> Galloper -> 밴 V6 LPG엑시드(숏바디),0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,지프 V6-3000,지프 V6-3000,,,Hyundai -> Galloper -> 지프 V6-3000,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,지프 V6 골드,지프 V6 골드,,,Hyundai -> Galloper -> 지프 V6 골드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,S V6-3000,S V6-3000,,,Hyundai -> Galloper -> S V6-3000,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,S V6 골드,S V6 골드,,,Hyundai -> Galloper -> S V6 골드,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,3.5 (구조변경),3.5 (구조변경),,,Hyundai -> Galloper -> 3.5 (구조변경),0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,지프 표준형,지프 표준형,,,Hyundai -> Galloper -> 지프 표준형,1
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,지프 엑시드,지프 엑시드,,,Hyundai -> Galloper -> 지프 엑시드,0
domestic,현대,Hyundai,갤로퍼,Galloper,갤로퍼,,,지프 터보엑시드,지프 터보엑시드,,,Hyundai -> Galloper -> 지프 터보엑시드,3
